tempo,weather,track_temperature,air_temperature,total_laps,track_lenght,session_type,track_id,type_formula,session_time_left,session_duration,pit_speed_limit,weather_forecast,rain_percentage,track_temp_change,air_temp_change,time_forecast
74.832,0,39,26,18,4294,15,16,0,7200,7200,80,0,5,2,2,0
75.354,0,39,26,18,4294,15,16,0,7199,7200,80,0,5,2,2,0
75.857,0,39,26,18,4294,15,16,0,7198,7200,80,0,5,2,2,0
76.359,0,39,26,18,4294,15,16,0,7198,7200,80,0,5,2,2,0
76.857,1,39,25,18,4294,15,16,0,7197,7200,80,1,5,2,2,0
77.335,1,39,25,18,4294,15,16,0,7197,7200,80,1,5,2,2,0
77.847,1,39,25,18,4294,15,16,0,7196,7200,80,1,5,2,2,0
78.341,1,39,25,18,4294,15,16,0,7196,7200,80,1,5,2,2,0
78.856,1,39,25,18,4294,15,16,0,7195,7200,80,1,5,2,2,0
79.333,1,39,25,18,4294,15,16,0,7195,7200,80,1,5,2,2,0
79.849,1,39,25,18,4294,15,16,0,7194,7200,80,1,5,2,2,0
80.341,1,39,25,18,4294,15,16,0,7194,7200,80,1,5,2,2,0
80.855,1,39,25,18,4294,15,16,0,7193,7200,80,1,5,2,2,0
81.335,1,39,25,18,4294,15,16,0,7193,7200,80,1,5,2,2,0
81.848,1,39,25,18,4294,15,16,0,7192,7200,80,1,5,2,2,0
82.357,1,39,25,18,4294,15,16,0,7192,7200,80,1,5,2,2,0
82.852,1,39,25,18,4294,15,16,0,7191,7200,80,1,5,2,2,0
83.354,1,39,25,18,4294,15,16,0,7191,7200,80,1,5,2,2,0
83.837,1,39,25,18,4294,15,16,0,7190,7200,80,1,5,2,2,0
84.334,1,39,25,18,4294,15,16,0,7190,7200,80,1,5,2,2,0
84.854,1,39,25,18,4294,15,16,0,7189,7200,80,1,5,2,2,0
85.345,1,39,25,18,4294,15,16,0,7189,7200,80,1,5,2,2,0
85.835,1,39,25,18,4294,15,16,0,7188,7200,80,1,5,2,2,0
86.349,1,39,25,18,4294,15,16,0,7188,7200,80,1,5,2,2,0
86.835,1,39,25,18,4294,15,16,0,7187,7200,80,1,5,2,2,0
87.337,1,39,25,18,4294,15,16,0,7187,7200,80,1,5,2,2,0
87.851,1,39,25,18,4294,15,16,0,7186,7200,80,1,5,2,2,0
88.358,1,39,25,18,4294,15,16,0,7186,7200,80,1,5,2,2,0
88.835,1,39,25,18,4294,15,16,0,7185,7200,80,1,5,2,2,0
89.355,1,39,25,18,4294,15,16,0,7185,7200,80,1,5,2,2,0
89.855,1,39,25,18,4294,15,16,0,7184,7200,80,1,5,2,2,0
90.337,1,39,25,18,4294,15,16,0,7184,7200,80,1,5,2,2,0
90.855,1,39,25,18,4294,15,16,0,7183,7200,80,1,5,2,2,0
91.352,1,39,25,18,4294,15,16,0,7183,7200,80,1,5,2,2,0
91.841,1,39,25,18,4294,15,16,0,7182,7200,80,1,5,2,2,0
92.342,1,39,25,18,4294,15,16,0,7182,7200,80,1,5,2,2,0
92.849,1,39,25,18,4294,15,16,0,7181,7200,80,1,5,2,2,0
93.34,1,39,25,18,4294,15,16,0,7181,7200,80,1,5,2,2,0
93.854,1,39,25,18,4294,15,16,0,7180,7200,80,1,5,2,2,0
94.348,1,39,25,18,4294,15,16,0,7180,7200,80,1,5,2,2,0
94.851,1,39,25,18,4294,15,16,0,7179,7200,80,1,5,2,2,0
95.345,1,39,25,18,4294,15,16,0,7179,7200,80,1,5,2,2,0
95.844,1,39,25,18,4294,15,16,0,7178,7200,80,1,5,2,2,0
96.35,1,39,25,18,4294,15,16,0,7178,7200,80,1,5,2,2,0
96.847,1,39,25,18,4294,15,16,0,7177,7200,80,1,5,2,2,0
97.355,1,39,25,18,4294,15,16,0,7177,7200,80,1,5,2,2,0
97.837,1,39,25,18,4294,15,16,0,7176,7200,80,1,5,2,2,0
98.349,1,39,25,18,4294,15,16,0,7176,7200,80,1,5,2,2,0
98.854,1,39,25,18,4294,15,16,0,7175,7200,80,1,5,2,2,0
99.338,1,39,25,18,4294,15,16,0,7175,7200,80,1,5,2,2,0
99.836,1,39,25,18,4294,15,16,0,7174,7200,80,1,5,2,2,0
100.335,1,39,25,18,4294,15,16,0,7174,7200,80,1,5,2,2,0
100.858,1,39,25,18,4294,15,16,0,7173,7200,80,1,5,2,2,0
101.334,1,39,25,18,4294,15,16,0,7173,7200,80,1,5,2,2,0
101.834,1,39,25,18,4294,15,16,0,7173,7200,80,1,5,2,2,0
102.354,1,39,25,18,4294,15,16,0,7172,7200,80,1,5,2,2,0
102.856,1,39,25,18,4294,15,16,0,7171,7200,80,1,5,2,2,0
103.355,1,39,25,18,4294,15,16,0,7171,7200,80,1,5,2,2,0
103.834,1,39,25,18,4294,15,16,0,7171,7200,80,1,5,2,2,0
104.342,1,39,25,18,4294,15,16,0,7170,7200,80,1,5,2,2,0
104.833,1,39,25,18,4294,15,16,0,7170,7200,80,1,5,2,2,0
105.359,1,39,25,18,4294,15,16,0,7169,7200,80,1,5,2,2,0
105.836,1,39,25,18,4294,15,16,0,7169,7200,80,1,5,2,2,0
106.354,1,39,25,18,4294,15,16,0,7168,7200,80,1,5,2,2,0
106.85,1,39,25,18,4294,15,16,0,7167,7200,80,1,5,2,2,0
107.343,1,39,25,18,4294,15,16,0,7167,7200,80,1,5,2,2,0
107.859,1,39,25,18,4294,15,16,0,7166,7200,80,1,5,2,2,0
108.347,1,39,25,18,4294,15,16,0,7166,7200,80,1,5,2,2,0
108.835,1,39,25,18,4294,15,16,0,7165,7200,80,1,5,2,2,0
109.342,1,39,25,18,4294,15,16,0,7165,7200,80,1,5,2,2,0
109.852,1,39,25,18,4294,15,16,0,7164,7200,80,1,5,2,2,0
110.344,1,39,25,18,4294,15,16,0,7164,7200,80,1,5,2,2,0
110.837,1,39,25,18,4294,15,16,0,7163,7200,80,1,5,2,2,0
111.339,1,39,25,18,4294,15,16,0,7163,7200,80,1,5,2,2,0
111.842,1,39,25,18,4294,15,16,0,7162,7200,80,1,5,2,2,0
112.354,1,39,25,18,4294,15,16,0,7162,7200,80,1,5,2,2,0
112.855,1,39,25,18,4294,15,16,0,7161,7200,80,1,5,2,2,0
113.345,1,39,25,18,4294,15,16,0,7161,7200,80,1,5,2,2,0
113.856,1,39,25,18,4294,15,16,0,7160,7200,80,1,5,2,2,0
114.344,1,39,25,18,4294,15,16,0,7160,7200,80,1,5,2,2,0
114.856,1,39,25,18,4294,15,16,0,7159,7200,80,1,5,2,2,0
115.336,1,39,25,18,4294,15,16,0,7159,7200,80,1,5,2,2,0
115.847,1,39,25,18,4294,15,16,0,7158,7200,80,1,5,2,2,0
116.346,1,39,25,18,4294,15,16,0,7158,7200,80,1,5,2,2,0
116.855,1,39,25,18,4294,15,16,0,7157,7200,80,1,5,2,2,0
117.334,1,39,25,18,4294,15,16,0,7157,7200,80,1,5,2,2,0
117.84,1,39,25,18,4294,15,16,0,7156,7200,80,1,5,2,2,0
118.345,1,39,25,18,4294,15,16,0,7156,7200,80,1,5,2,2,0
118.855,1,39,25,18,4294,15,16,0,7155,7200,80,1,5,2,2,0
119.336,1,39,25,18,4294,15,16,0,7155,7200,80,1,5,2,2,0
119.842,1,39,25,18,4294,15,16,0,7154,7200,80,1,5,2,2,0
120.348,1,39,25,18,4294,15,16,0,7154,7200,80,1,5,2,2,0
120.844,1,39,25,18,4294,15,16,0,7153,7200,80,1,5,2,2,0
121.344,1,39,25,18,4294,15,16,0,7153,7200,80,1,5,2,2,0
121.838,1,39,25,18,4294,15,16,0,7152,7200,80,1,5,2,2,0
122.347,1,39,25,18,4294,15,16,0,7152,7200,80,1,5,2,2,0
122.844,1,39,25,18,4294,15,16,0,7151,7200,80,1,5,2,2,0
123.345,1,39,25,18,4294,15,16,0,7151,7200,80,1,5,2,2,0
123.839,1,39,25,18,4294,15,16,0,7150,7200,80,1,5,2,2,0
124.341,1,39,25,18,4294,15,16,0,7150,7200,80,1,5,2,2,0
124.854,1,39,25,18,4294,15,16,0,7149,7200,80,1,5,2,2,0
125.338,1,39,25,18,4294,15,16,0,7149,7200,80,1,5,2,2,0
125.849,1,39,25,18,4294,15,16,0,7148,7200,80,1,5,2,2,0
126.353,1,39,25,18,4294,15,16,0,7148,7200,80,1,5,2,2,0
126.847,1,39,25,18,4294,15,16,0,7147,7200,80,1,5,2,2,0
127.333,1,39,25,18,4294,15,16,0,7147,7200,80,1,5,2,2,0
127.837,1,39,25,18,4294,15,16,0,7146,7200,80,1,5,2,2,0
128.339,1,39,25,18,4294,15,16,0,7146,7200,80,1,5,2,2,0
128.836,1,39,25,18,4294,15,16,0,7145,7200,80,1,5,2,2,0
129.348,1,39,25,18,4294,15,16,0,7145,7200,80,1,5,2,2,0
129.844,1,39,25,18,4294,15,16,0,7144,7200,80,1,5,2,2,0
130.343,1,39,25,18,4294,15,16,0,7144,7200,80,1,5,2,2,0
130.834,1,39,25,18,4294,15,16,0,7143,7200,80,1,5,2,2,0
131.336,1,39,25,18,4294,15,16,0,7143,7200,80,1,5,2,2,0
131.841,1,39,25,18,4294,15,16,0,7142,7200,80,1,5,2,2,0
132.338,1,39,25,18,4294,15,16,0,7142,7200,80,1,5,2,2,0
132.843,1,39,25,18,4294,15,16,0,7141,7200,80,1,5,2,2,0
133.35,1,39,25,18,4294,15,16,0,7141,7200,80,1,5,2,2,0
133.84,1,39,25,18,4294,15,16,0,7140,7200,80,1,5,2,2,0
134.348,1,39,25,18,4294,15,16,0,7140,7200,80,1,5,2,2,0
134.854,1,39,25,18,4294,15,16,0,7139,7200,80,1,5,2,2,0
135.339,1,39,25,18,4294,15,16,0,7139,7200,80,1,5,2,2,0
135.843,1,39,25,18,4294,15,16,0,7138,7200,80,1,5,2,2,0
136.334,1,39,25,18,4294,15,16,0,7138,7200,80,1,5,2,2,0
136.835,1,39,25,18,4294,15,16,0,7137,7200,80,1,5,2,2,0
137.333,1,39,25,18,4294,15,16,0,7137,7200,80,1,5,2,2,0
137.845,1,39,25,18,4294,15,16,0,7136,7200,80,1,5,2,2,0
138.352,1,39,25,18,4294,15,16,0,7136,7200,80,1,5,2,2,0
138.841,1,39,25,18,4294,15,16,0,7135,7200,80,1,5,2,2,0
139.351,1,39,25,18,4294,15,16,0,7135,7200,80,1,5,2,2,0
139.853,1,39,25,18,4294,15,16,0,7134,7200,80,1,5,2,2,0
140.353,1,39,25,18,4294,15,16,0,7134,7200,80,1,5,2,2,0
140.837,1,39,25,18,4294,15,16,0,7133,7200,80,1,5,2,2,0
141.342,1,39,25,18,4294,15,16,0,7133,7200,80,1,5,2,2,0
141.853,1,39,25,18,4294,15,16,0,7132,7200,80,1,5,2,2,0
142.334,1,39,25,18,4294,15,16,0,7132,7200,80,1,5,2,2,0
142.852,1,39,25,18,4294,15,16,0,7131,7200,80,1,5,2,2,0
143.354,1,39,25,18,4294,15,16,0,7131,7200,80,1,5,2,2,0
143.855,1,39,25,18,4294,15,16,0,7130,7200,80,1,5,2,2,0
144.341,1,39,25,18,4294,15,16,0,7130,7200,80,1,5,2,2,0
144.838,1,39,25,18,4294,15,16,0,7129,7200,80,1,5,2,2,0
145.335,1,39,25,18,4294,15,16,0,7129,7200,80,1,5,2,2,0
145.832,1,39,25,18,4294,15,16,0,7128,7200,80,1,5,2,2,0
146.35,1,39,25,18,4294,15,16,0,7128,7200,80,1,5,2,2,0
146.833,1,39,25,18,4294,15,16,0,7127,7200,80,1,5,2,2,0
147.349,1,39,25,18,4294,15,16,0,7127,7200,80,1,5,2,2,0
147.843,1,39,25,18,4294,15,16,0,7126,7200,80,1,5,2,2,0
148.341,1,39,25,18,4294,15,16,0,7126,7200,80,1,5,2,2,0
148.837,1,39,25,18,4294,15,16,0,7125,7200,80,1,5,2,2,0
149.335,1,39,25,18,4294,15,16,0,7125,7200,80,1,5,2,2,0
149.844,1,39,25,18,4294,15,16,0,7124,7200,80,1,5,2,2,0
