tempo,front_wing,rear_wing,on_throttle,off_trottle,front_camber,rear_camber,front_toe,rear_toe,front_suspension,rear_suspension,front_anti_roll_bar,rear_anti_roll_bar,front_suspension_height,rear_suspension_height,brake_pressure,brake_bias,engine_braking,rl_tyre_pressure,rr_tyre_pressure,fl_tyre_pressure,fr_tyre_pressure,ballast,fuel_load
74.833,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
75.354,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
75.857,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
76.359,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
76.857,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
77.335,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
77.847,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
78.341,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
78.856,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
79.333,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
79.849,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
80.341,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
80.855,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
81.336,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
81.848,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
82.357,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
82.853,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
83.354,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
83.838,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
84.334,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
84.855,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
85.345,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
85.835,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
86.349,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
86.835,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
87.337,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
87.851,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
88.358,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
88.835,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.3,24.3,6,30.0
