tempo,velocidade,acelerador,volante,freio,embreagem,marcha,rpm,drs,temperatura_motor,temp_freio_RL,temp_freio_RR,temp_freio_FL,temp_freio_FR,temp_sup_pneu_RL,temp_sup_pneu_RR,temp_sup_pneu_FL,temp_sup_pneu_FR,temp_int_pneu_RL,temp_int_pneu_RR,temp_int_pneu_FL,temp_int_pneu_FR,pressao_pneu_RL,pressao_pneu_RR,pressao_pneu_FL,pressao_pneu_FR,tipo_superfice_Rl,tipo_superfice_RR,tipo_superfice_FL,tipo_superfice_FR
74.834,0,50.98039507865906,-0.0,0.0,100,1,14147,0,110,25,25,25,25,65,65,65,65,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
74.91,0,50.98039507865906,-0.0,0.0,100,1,13430,0,110,25,25,25,25,65,65,65,65,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
74.936,0,50.98039507865906,-0.0,0.0,100,1,13185,0,110,25,25,25,25,65,65,65,65,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
74.988,0,50.98039507865906,-0.0,0.0,100,1,12994,0,110,25,25,25,25,65,65,65,65,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.041,0,50.58823823928833,-0.0,0.0,100,1,12818,0,110,25,25,25,25,65,65,65,65,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.094,0,49.803921580314636,-0.0,0.0,100,1,12649,0,110,25,25,25,25,65,65,65,65,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.147,0,49.01960790157318,-0.0,0.0,0,1,12486,0,110,25,25,25,25,65,64,65,65,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.199,1,40.392157435417175,-0.0,0.0,0,1,10234,0,110,25,25,25,25,65,65,65,65,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.251,3,25.0980406999588,-0.0,0.0,0,1,9766,0,110,25,25,25,25,67,67,64,64,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.303,4,19.21568661928177,-0.0,0.0,0,1,9197,0,110,25,25,25,25,68,68,64,64,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.354,6,16.07843190431595,-0.0,0.0,0,1,8586,0,110,25,25,25,25,69,69,64,64,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.407,7,17.64705926179886,-0.0,0.0,0,1,7971,0,110,25,25,25,25,70,70,64,64,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.459,9,19.21568661928177,-0.0,0.0,0,1,7376,0,110,25,25,25,25,71,71,64,64,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.485,10,20.000000298023224,-0.0,0.0,0,1,7072,0,110,25,25,25,25,71,71,64,64,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.538,11,28.62745225429535,-0.0,0.0,0,1,6533,0,110,25,25,25,25,72,72,64,64,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.592,13,32.94117748737335,-0.0,0.0,0,1,6065,0,110,25,25,25,25,73,73,64,64,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.645,15,33.72549116611481,-0.0,0.0,0,1,5574,0,110,25,25,25,25,73,73,64,64,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.697,16,32.94117748737335,-0.0,0.0,0,1,5095,0,110,25,25,25,25,74,74,64,64,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.751,18,32.1568638086319,-0.014799962751567364,0.0,0,1,5065,0,110,25,25,25,25,74,74,64,64,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.804,18,30.19607961177826,-0.0746268704533577,0.0,0,1,5091,0,110,25,25,25,25,74,74,64,64,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.858,19,29.411765933036804,-0.13561157882213593,0.0,0,1,5092,0,110,25,25,25,25,74,74,64,64,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.884,19,29.411765933036804,-0.1648891568183899,0.0,0,1,5092,0,110,25,25,25,25,74,74,64,64,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.938,20,29.411765933036804,-0.08922971785068512,0.0,0,1,5092,0,110,25,25,25,25,73,73,63,63,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
75.991,20,29.411765933036804,-0.055485621094703674,0.0,0,1,5092,0,110,25,25,25,25,73,73,63,63,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
76.044,21,30.980393290519714,-0.007199153304100037,0.0,0,1,5083,0,110,25,25,25,25,73,73,63,63,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
76.097,21,35.29411852359772,-0.0,0.0,0,1,5030,0,110,25,25,25,25,73,73,63,63,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
76.15,22,36.07843220233917,0.003060169517993927,0.0,0,1,5017,0,110,25,25,25,25,73,73,63,63,69,69,69,69,20.3,20.3,23.0,23.0,0,0,0,0
76.203,23,47.05882370471954,-0.0,0.0,0,1,4980,0,110,25,25,25,25,73,73,63,63,69,69,69,69,20.3,20.3,22.9,22.9,0,0,0,0
76.255,24,69.41176652908325,-0.0,0.0,0,1,5090,0,110,25,25,25,25,73,73,63,63,69,69,69,69,20.3,20.3,22.9,22.9,0,0,0,0
76.306,26,100.0,-0.0,0.0,0,1,5495,0,110,25,25,25,25,73,73,63,63,69,69,69,69,20.3,20.3,22.9,22.9,0,0,0,0
76.36,27,100.0,-0.0,0.0,0,1,5929,0,110,25,25,25,25,73,73,63,63,69,69,69,69,20.3,20.3,22.9,22.9,0,0,0,0
76.384,28,100.0,-0.0,0.0,0,1,6115,0,110,25,25,25,25,73,72,63,63,69,69,69,69,20.3,20.3,22.9,22.9,0,0,0,0
76.437,30,100.0,-0.0,0.0,0,1,6431,0,110,25,25,25,25,73,73,63,63,69,69,69,69,20.3,20.3,22.9,22.9,0,0,0,0
76.489,32,100.0,-0.0,0.0,0,1,6687,0,110,25,25,25,25,73,73,63,63,69,69,69,69,20.3,20.3,22.9,22.9,0,0,0,0
76.542,34,100.0,-0.0,0.0,0,1,7303,0,110,25,25,25,25,73,73,62,62,69,69,69,69,20.3,20.3,22.9,22.9,0,0,0,0
76.594,36,100.0,-0.0,0.0,0,1,8029,0,110,25,25,25,25,74,74,62,62,69,69,69,69,20.3,20.3,22.9,22.9,0,0,0,0
76.646,37,100.0,-0.0,0.0,0,1,8900,0,110,25,25,25,25,75,75,62,62,69,69,69,69,20.3,20.3,22.9,22.9,0,0,0,0
76.699,39,100.0,-0.0,0.0,0,1,9985,0,110,25,25,25,25,76,76,62,62,69,69,69,69,20.3,20.3,22.9,22.9,0,0,0,0
