tempo,actual_tyre,visual_tyre,wear_tyre,available_tyre,recommended_session,life_span,usable_life,lap_delta_time,fitted
75.459,18,17,0,1,6,22,22,0,1
76.437,18,17,0,1,6,22,22,0,1
77.444,18,17,0,1,6,22,22,0,1
78.453,18,17,0,1,6,22,22,0,1
79.446,18,17,0,1,6,21,22,0,1
80.447,18,17,0,1,6,21,22,0,1
81.447,18,17,0,1,6,21,22,0,1
82.434,18,17,0,1,6,21,22,0,1
83.455,18,17,0,1,6,21,22,0,1
84.433,18,17,0,1,6,21,22,0,1
85.448,18,17,0,1,6,21,22,0,1
86.451,18,17,0,1,6,21,22,0,1
87.437,18,17,0,1,6,21,22,0,1
88.437,18,17,0,1,6,21,22,0,1
89.457,18,17,0,1,6,21,22,0,1
90.437,18,17,0,1,6,21,22,0,1
91.449,18,17,0,1,6,21,22,0,1
92.441,18,17,0,1,6,21,22,0,1
93.438,18,17,0,1,6,21,22,0,1
94.443,18,17,0,1,6,21,22,0,1
95.443,18,17,0,1,6,21,22,0,1
96.455,18,17,0,1,6,21,22,0,1
97.435,18,17,0,1,6,21,22,0,1
98.451,18,17,0,1,6,21,22,0,1
99.451,18,17,0,1,6,21,22,0,1
100.446,18,17,0,1,6,21,22,0,1
101.457,18,17,0,1,6,21,22,0,1
102.457,18,17,0,1,6,21,22,0,1
103.441,18,17,0,1,6,21,22,0,1
104.451,18,17,0,1,6,21,22,0,1
105.441,18,17,0,1,6,21,22,0,1
106.439,18,17,0,1,6,21,22,0,1
107.437,18,17,1,1,6,21,22,0,1
108.454,18,17,1,1,6,21,22,0,1
109.439,18,17,1,1,6,21,22,0,1
110.441,18,17,1,1,6,21,22,0,1
111.455,18,17,1,1,6,21,22,0,1
112.435,18,17,1,1,6,21,22,0,1
113.447,18,17,1,1,6,21,22,0,1
114.448,18,17,1,1,6,21,22,0,1
115.436,18,17,1,1,6,21,22,0,1
116.446,18,17,1,1,6,21,22,0,1
117.438,18,17,1,1,6,21,22,0,1
118.44,18,17,1,1,6,21,22,0,1
119.433,18,17,1,1,6,21,22,0,1
120.442,18,17,1,1,6,21,22,0,1
121.441,18,17,1,1,6,21,22,0,1
122.445,18,17,1,1,6,21,22,0,1
123.439,18,17,1,1,6,21,22,0,1
124.435,18,17,1,1,6,21,22,0,1
125.455,18,17,1,1,6,21,22,0,1
126.445,18,17,1,1,6,21,22,0,1
127.456,18,17,1,1,6,21,22,0,1
128.437,18,17,1,1,6,21,22,0,1
129.45,18,17,1,1,6,21,22,0,1
130.438,18,17,1,1,6,21,22,0,1
