tempo,ABS,fuel_mix,front_brake_bias %,pit_limiter_status,fuel_in_tank,fuel_capacity,fuel_remaining_laps,max_rpm,idle_rpm,max_gears,drs_allowed,drs_activation_distance,actual_compound_tyre,visual_compound_tyre,tyre_age_laps,fia_flags,engine_power_ice,engine_power_mguk,ers_store_energy,ers_battery %,ers_deploy_mode,ers_harvested_thislap_MGUK,ers_harvested_MGUK %,ers_harvested_thislap_MGUH,ers_harvested_MGUH %,ers_deployed_thislap,ers_deployed %,network_paused
41.122,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.26,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.271,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.303,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.328,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.386,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.444,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.475,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.533,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.597,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.625,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.686,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.752,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.784,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.852,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.886,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.952,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.987,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
42.055,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
42.09,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
42.123,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
42.192,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
42.231,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
42.3,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
42.338,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
42.406,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
42.441,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
42.476,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
42.546,1,0,58,0,20.0,110.0,13.819443702697754,13099,4000,9,0,0,7,7,0,0,81207.28125,0.0,4000000.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
